City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Muros,ES,42.7762,-9.0603,73.15,69,55,12.03,broken clouds,2021-08-08 15:41:10
60,Acapulco,MX,16.8634,-99.8901,82.22,74,75,2.3,broken clouds,2021-08-08 15:39:08
61,Saint George,US,37.1041,-113.5841,90.54,23,1,0.0,haze,2021-08-08 15:41:01
62,Victoria,HK,22.2855,114.1577,86.32,89,100,1.01,light rain,2021-08-08 15:40:10
63,Okhotsk,RU,59.3833,143.3,57.18,80,10,8.03,clear sky,2021-08-08 15:33:06
64,Port Alfred,ZA,-33.5906,26.891,68.77,56,52,6.55,broken clouds,2021-08-08 15:41:11
65,Pekan,MY,3.4836,103.3996,77.11,86,87,2.26,overcast clouds,2021-08-08 15:41:11
66,Torbay,CA,47.6666,-52.7314,77.88,80,75,16.11,broken clouds,2021-08-08 15:31:27
67,Saldanha,ZA,-33.0117,17.9442,59.05,83,100,17.72,light rain,2021-08-08 15:41:12
68,Atuona,PF,-9.8,-139.0333,77.09,81,91,17.47,light rain,2021-08-08 15:41:13
69,Kapit,MY,2.0167,112.9333,75.47,95,95,1.12,light rain,2021-08-08 15:41:16
70,Dikson,RU,73.5069,80.5464,48.97,73,3,3.13,clear sky,2021-08-08 15:41:16
71,Biscarrosse,FR,44.3945,-1.1672,77.68,60,75,8.05,broken clouds,2021-08-08 15:41:17
72,Castro,BR,-24.7911,-50.0119,72.61,42,8,5.41,clear sky,2021-08-08 15:41:17
73,Sinnamary,GF,5.3833,-52.95,86.65,63,49,11.07,scattered clouds,2021-08-08 15:31:35
74,Skovorodino,RU,53.9833,123.9167,55.87,86,100,10.07,overcast clouds,2021-08-08 15:41:17
75,Martapura,ID,-3.4167,114.85,75.29,94,75,6.91,broken clouds,2021-08-08 15:41:18
76,Hermanus,ZA,-34.4187,19.2345,63.81,70,100,25.5,overcast clouds,2021-08-08 15:41:18
77,Neiafu,TO,-18.65,-173.9833,66.88,88,40,0.0,scattered clouds,2021-08-08 15:41:18
78,Inirida,CO,3.8653,-67.9239,75.25,95,98,4.21,light rain,2021-08-08 15:32:40
79,Vikhorevka,RU,56.1201,101.1636,58.59,57,39,2.86,scattered clouds,2021-08-08 15:41:19
80,Cozumel,MX,20.5083,-86.9458,89.67,71,40,5.01,scattered clouds,2021-08-08 15:41:19
81,Tuatapere,NZ,-46.1333,167.6833,32.83,85,99,5.26,overcast clouds,2021-08-08 15:41:20
82,Soyo,AO,-6.1349,12.3689,80.65,68,22,8.16,few clouds,2021-08-08 15:41:20
83,Mahebourg,MU,-20.4081,57.7,70.25,100,75,3.44,moderate rain,2021-08-08 15:32:07
84,La Orilla,MX,17.9833,-102.2333,81.73,79,90,3.29,overcast clouds,2021-08-08 15:41:20
85,Beringovskiy,RU,63.05,179.3167,43.47,90,100,23.82,light rain,2021-08-08 15:32:07
86,Honningsvag,NO,70.9821,25.9704,72.93,55,0,3.44,clear sky,2021-08-08 15:41:21
87,Ribeira Grande,PT,38.5167,-28.7,77.4,65,75,12.66,broken clouds,2021-08-08 15:41:21
88,Sobolevo,RU,54.4299,31.8996,72.46,62,100,2.77,overcast clouds,2021-08-08 15:31:41
89,Bilma,NE,18.6853,12.9164,102.97,19,90,7.78,overcast clouds,2021-08-08 15:41:22
90,Codrington,AU,-38.2667,141.9667,48.16,69,94,9.51,overcast clouds,2021-08-08 15:32:16
91,Erenhot,CN,43.6475,111.9767,75.94,32,78,6.49,broken clouds,2021-08-08 15:41:22
